#blinkered/attestations/2 language=is words=68689 sources=8 built=2026-09-23 digest=07b5a37574f24952
#tokens ebible:isl=171024 gut=63834 ia=1809097 lz:isl_newscrawl_2011_1M=1123615 lz:isl_newscrawl_2019_300K=446705 tat=64543 wiki:is=11804089 wikisource:is=2495577
SEM	ebible:isl,gut,ia,lz:isl_newscrawl_2011_1M,lz:isl_newscrawl_2019_300K,tat,wiki:is,wikisource:is	4542,998,24939,23166,9614,614,223165,33901	ebible:isl:PSA01 ebible:isl:PSA02 gut:15178 gut:16696 ia:002-dhanu-lagna-fal/001-Dhanu-Lagna-Fal_djvu.txt ia:002-kanya-lagna-fal/001-Kanya-Lagna-Fal_djvu.txt lz:isl_newscrawl_2011_1M:http://www.vb.is/frett/1/54426/index.html lz:isl_newscrawl_2011_1M:http://www.vb.is/frett/1/54508/hugsanleg-stefnubreyting-hja-sedlabankanum.html lz:isl_newscrawl_2019_300K:https://www.vb.is/leit/?q=%C3%BAtgj%C3%B6ld&sid=1&page=2 lz:isl_newscrawl_2019_300K:https://www.vb.is/skodun/svandis-aetti-ad-spyrja-steingrim/132421/?q=Bakki tat:382240 tat:382257 wiki:is:3 wiki:is:6 wikisource:is:8 wikisource:is:18
HANN	ebible:isl,gut,ia,lz:isl_newscrawl_2011_1M,lz:isl_newscrawl_2019_300K,tat,wiki:is,wikisource:is	4420,696,29379,9336,2251,1437,90665,83649	ebible:isl:PSA01 ebible:isl:PSA02 gut:15178 gut:16696 ia:GunnarDal/Gunnar%20Dal%20-%20Allar%20sm%C3%A1s%C3%B6gur%20Tolstoys-clearscan_djvu.txt ia:diplomatariumisl01kaupuoft/diplomatariumisl01kaupuoft_djvu.txt lz:isl_newscrawl_2011_1M:http://www.vb.is/frett/1/54426/index.html lz:isl_newscrawl_2011_1M:http://www.ruv.is/frett/gjaldthrotum-einkahlutafel-faekkar.html lz:isl_newscrawl_2019_300K:https://www.vb.is/frettir/morgan-stanley-naer-tvofaldar-hagnadinn/110466/?q=Morgan%20Stanley lz:isl_newscrawl_2019_300K:https://www.vf.is/frettir/roleg-nott-a-sudurnesjum tat:382228 tat:382255 wiki:is:3 wiki:is:6 wikisource:is:18 wikisource:is:30
TIL	ebible:isl,gut,ia,lz:isl_newscrawl_2011_1M,lz:isl_newscrawl_2019_300K,tat,wiki:is,wikisource:is	3178,888,26913,16933,6877,799,139225,44789	ebible:isl:PSA02 ebible:isl:PSA03 gut:15178 gut:16696 ia:GunnarDal/Gunnar%20Dal%20-%20Allar%20sm%C3%A1s%C3%B6gur%20Tolstoys-clearscan_djvu.txt ia:diplomatariumisl01kaupuoft/diplomatariumisl01kaupuoft_djvu.txt lz:isl_newscrawl_2011_1M:http://www.vb.is/flokkur/31/fiskifrettir/1/2010-08-10.html lz:isl_newscrawl_2011_1M:http://www.vb.is/frett/1/54024/index.html lz:isl_newscrawl_2019_300K:https://www.dv.is/fokus/menning/2018/9/6/leidsogn-um-samtimalist-fyrir-byrjendur/ lz:isl_newscrawl_2019_300K:https://www.vb.is/leit/?q=Nice&sid=1 tat:382228 tat:382241 wiki:is:3 wiki:is:6 wikisource:is:18 wikisource:is:30
VIÐ	ebible:isl,gut,ia,lz:isl_newscrawl_2011_1M,lz:isl_newscrawl_2019_300K,tat,wiki:is,wikisource:is	2738,1082,13628,15129,5741,1207,95102,23743	ebible:isl:PSA01 ebible:isl:PSA02 gut:15178 gut:16696 ia:002-dhanu-lagna-fal/001-Dhanu-Lagna-Fal_djvu.txt ia:002-kanya-lagna-fal/001-Kanya-Lagna-Fal_djvu.txt lz:isl_newscrawl_2011_1M:http://www.vb.is/frett/1/57566/marel-efnir-til-hlutafjarutbods-medal-fagfjarfesta----vilja-auka-hlutafe-um-6-milljarda.html lz:isl_newscrawl_2011_1M:http://www.vb.is/flokkur/31/fiskifrettir/1/2009-02-28.html lz:isl_newscrawl_2019_300K:https://www.vb.is/leit/?q=Nice&sid=1 lz:isl_newscrawl_2019_300K:https://www.vb.is/frettir/greiddu-yfir-17-milljarda-i-ard-2018/151948/?q=endurkaup tat:382216 tat:382241 wiki:is:3 wiki:is:6 wikisource:is:18 wikisource:is:29
ÞAÐ	ebible:isl,gut,ia,lz:isl_newscrawl_2011_1M,lz:isl_newscrawl_2019_300K,tat,wiki:is,wikisource:is	1958,1167,13019,11614,3268,1575,48150,38729	ebible:isl:PSA01 ebible:isl:PSA03 gut:15178 gut:16696 ia:002-dhanu-lagna-fal/001-Dhanu-Lagna-Fal_djvu.txt ia:002-kanya-lagna-fal/001-Kanya-Lagna-Fal_djvu.txt lz:isl_newscrawl_2011_1M:http://www.ruv.is/frett/sendi-formlegt-afsokunarbref.html lz:isl_newscrawl_2011_1M:http://www.ruv.is/frett/radherrar-lati-af-thingmennsku.html lz:isl_newscrawl_2019_300K:https://www.vb.is/leit/?q=Carlos%20Ghosn&sid=1 lz:isl_newscrawl_2019_300K:https://www.vf.is/frettir/roleg-nott-a-sudurnesjum tat:382236 tat:382237 wiki:is:3 wiki:is:6 wikisource:is:8 wikisource:is:30
VAR	ebible:isl,gut,ia,lz:isl_newscrawl_2011_1M,lz:isl_newscrawl_2019_300K,tat,wiki:is,wikisource:is	1335,1032,20480,11195,5010,657,169203,38672	ebible:isl:PSA18 ebible:isl:PSA19 gut:15178 gut:16696 ia:002-dhanu-lagna-fal/001-Dhanu-Lagna-Fal_djvu.txt ia:002-kanya-lagna-fal/001-Kanya-Lagna-Fal_djvu.txt lz:isl_newscrawl_2011_1M:http://www.ruv.is/frett/iraski-skokastarinn-daemdur.html lz:isl_newscrawl_2011_1M:http://www.vb.is/frett/1/37801/index.html lz:isl_newscrawl_2019_300K:https://www.mbl.is/frettir/innlent/2019/07/27/47_prosent_aukning_i_fjolskyldugardinum/ lz:isl_newscrawl_2019_300K:https://www.vb.is/leit/?q=Bjarni%20Bendiktsson&sid=1 tat:382256 tat:382306 wiki:is:3 wiki:is:6 wikisource:is:18 wikisource:is:30
EKKI	ebible:isl,gut,ia,lz:isl_newscrawl_2011_1M,lz:isl_newscrawl_2019_300K,tat,wiki:is,wikisource:is	2544,571,11776,11920,3958,1804,38239,21044	ebible:isl:PSA01 ebible:isl:PSA02 gut:15178 gut:16696 ia:002-dhanu-lagna-fal/001-Dhanu-Lagna-Fal_djvu.txt ia:002-kanya-lagna-fal/001-Kanya-Lagna-Fal_djvu.txt lz:isl_newscrawl_2011_1M:http://www.ruv.is/frett/sendi-formlegt-afsokunarbref.html lz:isl_newscrawl_2011_1M:http://www.ruv.is/frett/sigurbjorn-hlaut-grammy-verdlaunin.html lz:isl_newscrawl_2019_300K:https://www.dv.is/matur/2018/10/5/thetta-er-frabaert-rad-spaeldu-egg-braeddum-osti/ lz:isl_newscrawl_2019_300K:https://www.vb.is/frettir/einkaadilar-komi-ad-sundabraut/125961/ tat:382229 tat:382231 wiki:is:3 wiki:is:6 wikisource:is:18 wikisource:is:30
MEÐ	ebible:isl,gut,ia,lz:isl_newscrawl_2011_1M,lz:isl_newscrawl_2019_300K,tat,wiki:is,wikisource:is	1414,563,11255,11314,4323,528,82877,23017	ebible:isl:PSA01 ebible:isl:PSA02 gut:15178 gut:16696 ia:002-dhanu-lagna-fal/001-Dhanu-Lagna-Fal_djvu.txt ia:002-kanya-lagna-fal/001-Kanya-Lagna-Fal_djvu.txt lz:isl_newscrawl_2011_1M:http://www.vb.is/frett/1/54508/hugsanleg-stefnubreyting-hja-sedlabankanum.html lz:isl_newscrawl_2011_1M:http://www.vb.is/frett/1/51431/index.html lz:isl_newscrawl_2019_300K:https://www.vb.is/skodun/svandis-aetti-ad-spyrja-steingrim/132421/?q=Bakki lz:isl_newscrawl_2019_300K:https://www.mbl.is/frettir/innlent/2019/07/27/47_prosent_aukning_i_fjolskyldugardinum/ tat:382229 tat:382243 wiki:is:3 wiki:is:6 wikisource:is:18 wikisource:is:29
ÞVÍ	ebible:isl,gut,ia,lz:isl_newscrawl_2011_1M,lz:isl_newscrawl_2019_300K,tat,wiki:is,wikisource:is	2166,620,10311,9583,3388,272,42359,25429	ebible:isl:PSA01 ebible:isl:PSA02 gut:15178 gut:16696 ia:GunnarDal/Gunnar%20Dal%20-%20Allar%20sm%C3%A1s%C3%B6gur%20Tolstoys-clearscan_djvu.txt ia:diplomatariumisl01kaupuoft/diplomatariumisl01kaupuoft_djvu.txt lz:isl_newscrawl_2011_1M:http://www.vb.is/frett/1/50398/index.html lz:isl_newscrawl_2011_1M:http://www.ruv.is/frett/sigurbjorn-hlaut-grammy-verdlaunin.html lz:isl_newscrawl_2019_300K:https://www.dv.is/fokus/2018/06/22/ohefladir-90s-reifarar-hurra-kvold-altern-8-enn-fullu-fjori/attachment/0f4efedc445f2194e2f0bf87f5727217/ lz:isl_newscrawl_2019_300K:https://www.vb.is/frettir/einkaadilar-komi-ad-sundabraut/125961/ tat:382507 tat:383457 wiki:is:3 wiki:is:6 wikisource:is:18 wikisource:is:30
FYRIR	ebible:isl,gut,ia,lz:isl_newscrawl_2011_1M,lz:isl_newscrawl_2019_300K,tat,wiki:is,wikisource:is	1233,478,10393,11111,4268,523,73780,19123	ebible:isl:PSA02 ebible:isl:PSA03 gut:15178 gut:16696 ia:002-kanya-lagna-fal/001-Kanya-Lagna-Fal_djvu.txt ia:GunnarDal/Gunnar%20Dal%20-%20Allar%20sm%C3%A1s%C3%B6gur%20Tolstoys-clearscan_djvu.txt lz:isl_newscrawl_2011_1M:http://www.sport.is/sportvarp/2010/09/25/sportvarp-olafur-h-kristjansson-sportvarp/index.html lz:isl_newscrawl_2011_1M:http://www.vb.is/flokkur/31/fiskifrettir/1/2010-08-10.html lz:isl_newscrawl_2019_300K:https://www.vb.is/leit/?q=Bjarni%20Bendiktsson&sid=1 lz:isl_newscrawl_2019_300K:https://www.vb.is/frettir/fjolbreytni-og-nyskopun/124793/?q=Lykill tat:382511 tat:383198 wiki:is:3 wiki:is:6 wikisource:is:18 wikisource:is:30
